Reader Level 1: Everyday Language,,,
Vocabulary (Tiers 1–10),,,
Tier,Entry #,Content,Word Count
Tier 1,1,Rice,1
Tier 1,2,bread,1
Tier 1,3,bus,1
Tier 1,4,desk,1
Tier 1,5,pen,1
Tier 1,6,street,1
Tier 1,7,door,1
Tier 1,8,lamp,1
Tier 1,9,shirt,1
Tier 1,10,bed,1
Tier 2,1,Kitchen,1
Tier 2,2,window,1
Tier 2,3,water,1
Tier 2,4,table,1
Tier 2,5,student,1
Tier 2,6,teacher,1
Tier 2,7,coffee,1
Tier 2,8,market,1
Tier 2,9,paper,1
Tier 2,10,jacket,1
Tier 3,1,Walking,1
Tier 3,2,eating,1
Tier 3,3,garden,1
Tier 3,4,river,1
Tier 3,5,mountain,1
Tier 3,6,forest,1
Tier 3,7,weather,1
Tier 3,8,morning,1
Tier 3,9,dinner,1
Tier 3,10,laundry,1
Tier 4,1,Brother,1
Tier 4,2,sister,1
Tier 4,3,mother,1
Tier 4,4,father,1
Tier 4,5,neighbor,1
Tier 4,6,helper,1
Tier 4,7,city,1
Tier 4,8,village,1
Tier 4,9,handle,1
Tier 4,10,hungry,1
Tier 5,1,Computer,1
Tier 5,2,hospital,1
Tier 5,3,vegetable,1
Tier 5,4,library,1
Tier 5,5,umbrella,1
Tier 5,6,bicycle,1
Tier 5,7,apartment,1
Tier 5,8,tomorrow,1
Tier 5,9,directions,1
Tier 5,10,telephone,1
Tier 6,1,Schedule,1
Tier 6,2,furniture,1
Tier 6,3,passenger,1
Tier 6,4,ingredient,1
Tier 6,5,instrument,1
Tier 6,6,nutrition,1
Tier 6,7,collection,1
Tier 6,8,delivery,1
Tier 6,9,connection,1
Tier 6,10,attention,1
Tier 7,1,Medicine,1
Tier 7,2,pharmacy,1
Tier 7,3,restaurant,1
Tier 7,4,exercise,1
Tier 7,5,dangerous,1
Tier 7,6,together,1
Tier 7,7,calendar,1
Tier 7,8,holiday,1
Tier 7,9,afternoon,1
Tier 7,10,yesterday,1
Tier 8,1,Information,1
Tier 8,2,supermarket,1
Tier 8,3,emergency,1
Tier 8,4,activity,1
Tier 8,5,community,1
Tier 8,6,environment,1
Tier 8,7,photography,1
Tier 8,8,dictionary,1
Tier 8,9,invitation,1
Tier 8,10,conversation,1
Tier 9,1,Education,1
Tier 9,2,graduation,1
Tier 9,3,calculator,1
Tier 9,4,architecture,1
Tier 9,5,television,1
Tier 9,6,illustration,1
Tier 9,7,decoration,1
Tier 9,8,preparation,1
Tier 9,9,temperature,1
Tier 9,10,competition,1
Tier 10,1,Operation,1
Tier 10,2,situation,1
Tier 10,3,application,1
Tier 10,4,orientation,1
Tier 10,5,communication,1
Tier 10,6,celebration,1
Tier 10,7,appreciation,1
Tier 10,8,destination,1
Tier 10,9,observation,1
Tier 10,10,translation,1
,,,
Sentences (Tiers 11–20),,,
Tier,Entry #,Content,Word Count
Tier 11,1,You should always carry a map when you visit a city.,11
Tier 11,2,The student needs to find a quiet place to study hard.,11
Tier 11,3,I am going to the grocery store to buy some bread.,11
Tier 11,4,Walking to school every morning is a very healthy habit indeed.,11
Tier 11,5,The teacher told the class to finish their homework by Friday.,11
Tier 11,6,Please remember to turn off the lights before you leave home.,11
Tier 11,7,A healthy breakfast gives you energy for the entire long day.,11
Tier 11,8,Learning a new language takes a lot of practice and time.,11
Tier 11,9,My friend lives in a small apartment near the college campus.,11
Tier 11,10,The bus arrives at the station every thirty minutes on weekdays.,11
Tier 12,1,High school students often feel tired after a long day of classes.,12
Tier 12,2,Please make sure to bring your laptop to the library for study.,12
Tier 12,3,Eating a fresh green vegetable with every meal is good for health.,12
Tier 12,4,The hospital is located on the main road next to the park.,12
Tier 12,5,We use a fast computer to complete all of our school assignments.,12
Tier 12,6,She rides her blue bicycle to the store to buy some fruit.,12
Tier 12,7,Ask the local people for directions if you happen to get lost.,12
Tier 12,8,My new apartment has a very beautiful view of the city lights.,12
Tier 12,9,We will finish the group project by tomorrow afternoon at four o'clock.,12
Tier 12,10,An umbrella is very useful to have when it starts raining outside.,12
Tier 13,1,It is important to check the kitchen window before you leave the house.,13
Tier 13,2,Every student knows that having fresh water on the table is very helpful.,13
Tier 13,3,"If you are hungry, you can eat lunch before walking to your class.",13
Tier 13,4,The local supermarket is the best place to find fresh food and supplies.,13
Tier 13,5,Practice your conversation skills by talking to your classmates every single day now.,13
Tier 13,6,"In case of an emergency, you must call for help immediately without delay.",13
Tier 13,7,Taking a nice photography class is a fun activity for many young people.,13
Tier 13,8,We must work together to protect the natural environment for our future generations.,13
Tier 13,9,Information about the new course is available at the front desk of school.,13
Tier 13,10,Using a dictionary can help you understand the meaning of many difficult words.,13
Tier 14,1,A university education provides many opportunities for students to learn about the wide world.,14
Tier 14,2,Having a strong personality helps you deal with the many challenges of college life.,14
Tier 14,3,It is your responsibility to ensure that your communication with others is always clear.,14
Tier 14,4,There is a possibility that the organization will host a large event next month.,14
Tier 14,5,Use your imagination to create a unique project that shows your own personal style.,14
Tier 14,6,The association provides many resources to help students succeed in their chosen career paths.,14
Tier 14,7,Electricity is an essential part of our daily lives and we must use it.,14
Tier 14,8,Learning new vocabulary is an integral part of mastering a second or third language.,14
Tier 14,9,The medical practitioner explained that drinking enough water is vital for your physical health.,14
