Reader Level 2: Transactional & Social Language,,,
Vocabulary (Tiers 1–10),,,
Tier,Entry #,Content,Word Count
Tier 1,1,Label,1
Tier 1,2,notion,1
Tier 1,3,theme,1
Tier 1,4,trend,1
Tier 1,5,entity,1
Tier 1,6,cite,1
Tier 1,7,error,1
Tier 1,8,scope,1
Tier 1,9,sum,1
Tier 1,10,code,1
Tier 2,1,Derive,1
Tier 2,2,enforce,1
Tier 2,3,emerge,1
Tier 2,4,precede,1
Tier 2,5,shift,1
Tier 2,6,denote,1
Tier 2,7,format,1
Tier 2,8,instance,1
Tier 2,9,phase,1
Tier 2,10,regime,1
Tier 3,1,Extract,1
Tier 3,2,income,1
Tier 3,3,volume,1
Tier 3,4,concept,1
Tier 3,5,factor,1
Tier 3,6,major,1
Tier 3,7,issue,1
Tier 3,8,legal,1
Tier 3,9,period,1
Tier 3,10,theory,1
Tier 4,1,Valid,1
Tier 4,2,verbal,1
Tier 4,3,implicit,1
Tier 4,4,outcome,1
Tier 4,5,thesis,1
Tier 4,6,trace,1
Tier 4,7,precise,1
Tier 4,8,via,1
Tier 4,9,pose,1
Tier 4,10,seek,1
Tier 5,1,Status,1
Tier 5,2,symbol,1
Tier 5,3,verify,1
Tier 5,4,dispose,1
Tier 5,5,invoke,1
Tier 5,6,minimal,1
Tier 5,7,overlap,1
Tier 5,8,principal,1
Tier 5,9,regime,1
Tier 5,10,suspend,1
Tier 6,1,Paradigm,1
Tier 6,2,parameter,1
Tier 6,3,precise,1
Tier 6,4,trace,1
Tier 6,5,via,1
Tier 6,6,sum,1
Tier 6,7,theory,1
Tier 6,8,volume,1
Tier 6,9,extract,1
Tier 6,10,factor,1
Tier 7,1,Coherent,1
Tier 7,2,explicit,1
Tier 7,3,integrate,1
Tier 7,4,modify,1
Tier 7,5,reject,1
Tier 7,6,stability,1
Tier 7,7,summary,1
Tier 7,8,subsequent,1
Tier 7,9,transmit,1
Tier 7,10,underlying,1
Tier 8,1,Empirical,1
Tier 8,2,ideology,1
Tier 8,3,modify,1
Tier 8,4,stability,1
Tier 8,5,thereby,1
Tier 8,6,dispose,1
Tier 8,7,income,1
Tier 8,8,legal,1
Tier 8,9,overlap,1
Tier 8,10,precise,1
Tier 9,1,Exceed,1
Tier 9,2,integrate,1
Tier 9,3,objective,1
Tier 9,4,projection,1
Tier 9,5,summary,1
Tier 9,6,coherent,1
Tier 9,7,explicit,1
Tier 9,8,modify,1
Tier 9,9,subsequent,1
Tier 9,10,underlying,1
Tier 10,1,Subsequent,1
Tier 10,2,transmit,1
Tier 10,3,underlying,1
Tier 10,4,virtually,1
Tier 10,5,coherent,1
Tier 10,6,objective,1
Tier 10,7,projection,1
Tier 10,8,summary,1
Tier 10,9,exceed,1
Tier 10,10,integrate,1
,,,
Sentences (Tiers 11–20),,,
Tier,Entry #,Content,Word Count
Tier 11,1,The principal issue is whether we can verify the social trend.,11
Tier 11,2,Managers must cite the official code to justify a new project.,11
Tier 11,3,Every legal entity needs a valid license to conduct local business.,11
Tier 11,4,Please verify the sum of the income before the next phase.,11
Tier 11,5,The social regime began to emerge during a very difficult period.,11
Tier 11,6,A major error in the data will distort the final outcome.,11
Tier 11,7,You must seek a coherent theme for your annual project summary.,11
Tier 11,8,The scope of the work will expand during the subsequent period.,11
Tier 11,9,Teachers provide a clear format to help students write a thesis.,11
Tier 11,10,The system will denote the error with a specific red label.,11
